Hero,TP,FP,FN,TN,Accuracy,Precision,Recall
Antimage,3738,4,64,2722,0.9895833333333334,0.9989310529128808,0.9831667543398211
Antimage,3411,1057,120,3336,0.8514639071176173,0.7634288272157564,0.9660152931180969
Antimage,5252,2,183,3869,0.980120352460778,0.9996193376475067,0.9663293468261269
Antimage,3684,2,26,1228,0.994331983805668,0.9994574064026045,0.9929919137466308
Antimage,2644,520,140,2937,0.8942477167120654,0.8356510745891277,0.9497126436781609
Antimage,1986,254,60,2662,0.9367190648931882,0.8866071428571428,0.9706744868035191
Antimage,NA,NA,NA,NA,NA,NA,NA
Antimage,NA,NA,NA,NA,NA,NA,NA
Shadow shaman,3910,69,0,2933,0.9900173611111112,0.9826589595375722,1.0
Shadow shaman,3787,3,2,3138,0.9992784992784993,0.9992084432717678,0.9994721562417525
Shadow shaman,3498,174,6,2519,0.9709536872680329,0.9526143790849673,0.9982876712328768
Shadow shaman,4147,252,1,3314,0.9672024889810734,0.9427142532393726,0.9997589199614272
Shadow shaman,2324,178,9,2349,0.9615226337448559,0.9288569144684252,0.9961423060437206
Shadow shaman,4796,13,0,3267,0.9983902922238732,0.9972967352880017,1.0
Shadow shaman,2598,18,0,1548,0.9956772334293948,0.9931192660550459,1.0
Shadow shaman,384,0,0,768,1.0,1.0,1.0
Shadow shaman,2559,1128,5,2173,0.8068201193520886,0.694060211554109,0.9980499219968799
Shadow shaman,3142,917,1,2220,0.8538216560509554,0.7740822862774083,0.9996818326439707
Shadow shaman,3214,2,2,2956,0.9993521218011014,0.9993781094527363,0.9993781094527363
Shadow shaman,3307,6,2,2589,0.9986449864498645,0.9981889526109267,0.9993955877908733
Underlord,5746,1,49,5076,0.9954010301692421,0.9998259961719158,0.9915444348576359
Underlord,4398,1,44,3759,0.9945135332845647,0.9997726756080928,0.990094552003602
Underlord,3986,0,30,4114,0.996309963099631,1.0,0.9925298804780877
Underlord,1252,0,3,1945,0.9990625,1.0,0.9976095617529881
Underlord,4382,4,12,5052,0.9983068783068783,0.9990880072959416,0.997269003186163
Underlord,2567,6,6,3672,0.9980803071508558,0.9976680917217257,0.9976680917217257
Underlord,4727,0,50,4427,0.994567579313342,1.0,0.9895331798199707
Underlord,4532,1,41,5632,0.9958847736625515,0.99977939554379,0.9910343319483927
Underlord,3329,0,13,2933,0.9979282868525896,1.0,0.9961101137043686
Underlord,3526,0,9,2951,0.9986123959296948,1.0,0.9974540311173975